Sample in Buffer,Sample in Window,TRIGGER,sig_AD2_IN[9:0],sig_AD1_IN[9:0],LED_IO_OBUF[2:0]
729,729,0,93,-86,2
730,730,0,61,4,2
731,731,0,-52,131,2
732,732,0,-24,-73,2
733,733,0,0,-72,2
734,734,0,-3,43,2
735,735,0,46,-2,2
736,736,0,0,-174,2
737,737,0,-79,-8,2
738,738,0,21,62,2
739,739,0,74,30,2
740,740,0,-68,33,2
741,741,0,-33,-13,2
742,742,0,94,85,2
743,743,0,-27,1,2
744,744,0,-106,-74,2
745,745,0,87,67,2
746,746,0,81,81,2
747,747,0,-139,-112,2
748,748,0,-52,-116,2
749,749,0,144,24,2
750,750,0,16,38,2
751,751,0,-133,25,2
752,752,0,0,54,2
753,753,0,91,-11,2
754,754,0,-7,-181,2
755,755,0,-40,-95,2
756,756,0,-14,83,2
757,757,0,-5,170,2
758,758,0,39,143,2
759,759,0,38,19,2
760,760,0,-63,-29,2
761,761,0,-56,-182,2
762,762,0,73,-26,2
763,763,0,65,99,2
764,764,0,-65,-101,2
765,765,0,-73,38,2
766,766,0,48,-162,2
767,767,0,78,-30,2
768,768,0,-27,270,2
769,769,0,-83,-96,2
770,770,0,11,-3,2
771,771,0,84,84,2
772,772,0,-3,-58,2
773,773,0,-72,31,2
774,774,0,3,-58,2
775,775,0,50,125,2
776,776,0,-15,20,2
777,777,0,-11,-176,2
778,778,0,18,30,2
779,779,0,-32,55,2
780,780,0,-24,-39,2
781,781,0,68,-138,2
782,782,0,11,7,2
783,783,0,-92,29,2
784,784,0,0,63,2
785,785,0,88,111,2
786,786,0,-13,-26,2
787,787,0,-70,45,2
788,788,0,7,-8,2
789,789,0,30,-88,2
790,790,0,4,-29,2
791,791,0,14,-23,2
792,792,0,-32,-76,2
793,793,0,-53,-24,2
794,794,0,64,147,2
795,795,0,71,23,2
796,796,0,-89,11,2
797,797,0,-84,82,2
798,798,0,90,-23,2
799,799,0,78,-105,2
800,800,0,-63,-48,2
801,801,0,-75,-24,2
802,802,0,23,-10,2
803,803,0,67,96,2
804,804,0,32,-10,2
805,805,0,-76,28,2
806,806,0,-79,6,2
807,807,0,82,-64,2
808,808,0,114,95,2
809,809,0,-85,58,2
810,810,0,-127,-12,2
811,811,0,77,-103,2
812,812,0,125,-92,2
813,813,0,-57,41,2
814,814,0,-104,25,2
815,815,0,22,3,2
816,816,0,72,-88,2
817,817,0,17,-2,2
818,818,0,-45,127,2
819,819,0,-45,-46,2
820,820,0,16,59,2
821,821,0,65,183,2
822,822,0,3,-84,2
823,823,0,-60,-169,2
824,824,0,-13,-88,2
825,825,0,32,-55,2
826,826,0,26,94,2
827,827,0,1,167,2
828,828,0,-50,-73,2
829,829,0,-40,-121,2
830,830,0,80,88,2
831,831,0,54,9,2
832,832,0,-111,-15,2
833,833,0,-43,89,2
834,834,0,138,12,2
835,835,0,2,-82,2
836,836,0,-128,-83,2
837,837,0,55,29,2
838,838,0,94,55,2
839,839,0,-115,-15,2
840,840,0,-41,-31,2
841,841,0,125,126,2
842,842,0,-15,77,2
